episode_id,source,modality,prompt_condition,condition,model,hmm_group_true,hmm_group_scored_by,length,mean_loglik_per_step
human__k1-8wnwvt2o_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,14,-1.6156524293678451
human__k1-8wnwvt2o_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,14,-2.4663716618546863
human__k1-8wnwvt2o_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,14,-1.8585421535280062
human__k1-8wnwvt2o_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,14,-2.458726085026325
human__k1-8yhczhdd_sim1.pkl,human,human,human,human,human,human,human,13,-1.7108495059008226
human__k1-8yhczhdd_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,13,-3.077636050757502
human__k1-8yhczhdd_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,13,-4.333953565114225
human__k1-8yhczhdd_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,13,-1.8841076858500978
human__k1-8yhczhdd_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,13,-2.8974554554759857
human__k1-8yhczhdd_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,13,-3.2436428666390618
human__k1-8yhczhdd_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,13,-2.0093654087394146
human__k1-9k2w3mio_sim1.pkl,human,human,human,human,human,human,human,34,-1.5990574642899213
human__k1-9k2w3mio_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,34,-2.5687809705548266
human__k1-9k2w3mio_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,34,-3.554652467767642
human__k1-9k2w3mio_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,34,-1.9401432145852724
human__k1-9k2w3mio_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,34,-2.4712374647669635
human__k1-9k2w3mio_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,34,-2.53592375106644
human__k1-9k2w3mio_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,34,-1.8924545566111088
human__k1-9uwp7vnf_sim1.pkl,human,human,human,human,human,human,human,40,-1.2205338232235323
human__k1-9uwp7vnf_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,40,-2.640469824754072
human__k1-9uwp7vnf_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,40,-3.193559915655274
human__k1-9uwp7vnf_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,40,-1.912117934558762
human__k1-9uwp7vnf_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,40,-2.280794290518961
human__k1-9uwp7vnf_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,40,-2.4947771577283544
human__k1-9uwp7vnf_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,40,-1.750761965429146
human__k1-a9vxzvuf_sim1.pkl,human,human,human,human,human,human,human,61,-1.3760948303540732
human__k1-a9vxzvuf_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,61,-3.1245385325968282
human__k1-a9vxzvuf_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,61,-3.8601046472230145
human__k1-a9vxzvuf_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,61,-2.2062950273466417
human__k1-a9vxzvuf_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,61,-2.8336273727387726
human__k1-a9vxzvuf_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,61,-1.9635221455011869
human__k1-a9vxzvuf_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,61,-2.253540271928558
human__k1-e4s6ose8_sim1.pkl,human,human,human,human,human,human,human,84,-0.9379948490600182
human__k1-e4s6ose8_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,84,-4.110816403823639
human__k1-e4s6ose8_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,84,-4.144007610923244
human__k1-e4s6ose8_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,84,-1.4297025643778074
human__k1-e4s6ose8_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,84,-1.3280628019391023
human__k1-e4s6ose8_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,84,-2.744601034447357
human__k1-e4s6ose8_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,84,-2.2111337035091
human__k1-egrbxr77_sim1.pkl,human,human,human,human,human,human,human,38,-1.0824114320204377
human__k1-egrbxr77_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,38,-2.363400466991226
human__k1-egrbxr77_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,38,-2.838723856591125
human__k1-egrbxr77_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,38,-1.6797035653582817
human__k1-egrbxr77_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,38,-1.9158807750070839
human__k1-egrbxr77_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,38,-2.231528960264572
human__k1-egrbxr77_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,38,-1.8234924901535212
human__k1-ey55om7m_sim1.pkl,human,human,human,human,human,human,human,133,-1.0355081324750983
human__k1-ey55om7m_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,133,-2.2380353246819773
human__k1-ey55om7m_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,133,-2.504389567396263
human__k1-ey55om7m_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,133,-1.8180508696175686
human__k1-ey55om7m_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,133,-2.246338113429348
human__k1-ey55om7m_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,133,-1.908047091297927
human__k1-ey55om7m_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,133,-1.5755727285507943
human__k1-f4pc8r3d_sim1.pkl,human,human,human,human,human,human,human,102,-1.0461956411319777
human__k1-f4pc8r3d_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,102,-2.929180929286432
human__k1-f4pc8r3d_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,102,-3.263508594820473
human__k1-f4pc8r3d_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,102,-1.7192051283528917
