episode_id,source,modality,prompt_condition,condition,model,hmm_group_true,hmm_group_scored_by,length,mean_loglik_per_step
human__k1-2ry26mia_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__normal,9,-4.104897656958624
human__k1-2ry26mia_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__student,9,-3.189232823085675
human__k1-2ry26mia_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__normal,9,-2.661045422404589
human__k1-2ry26mia_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__student,9,-3.6868780482420984
human__k1-2ry26mia_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__normal,9,-2.128929150905066
human__k1-2ry26mia_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__student,9,-3.4060417721995626
human__k1-2ry26mia_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__normal,9,-4.5367410346605705
human__k1-2ry26mia_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__student,9,-3.5686068245429845
human__k1-2ry26mia_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__normal,9,-3.858907752121478
human__k1-2ry26mia_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__student,9,-3.3326232824584063
human__k1-2ry26mia_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__normal,9,-4.255688558484874
human__k1-2ry26mia_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__student,9,-3.416458777990392
human__k1-3ar8diu9_sim1.pkl,human,human,human,human,human,human,human,89,-1.6925051028286353
human__k1-3ar8diu9_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__normal,89,-3.56585607637411
human__k1-3ar8diu9_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__student,89,-2.4208158340422656
human__k1-3ar8diu9_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__normal,89,-2.0924898123855695
human__k1-3ar8diu9_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__student,89,-2.251210557273187
human__k1-3ar8diu9_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__normal,89,-2.1673109175725283
human__k1-3ar8diu9_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__student,89,-2.233603166464255
human__k1-3ar8diu9_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__normal,89,-3.016583323691443
human__k1-3ar8diu9_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__student,89,-3.6113937615993454
human__k1-3ar8diu9_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__normal,89,-3.8756369496615037
human__k1-3ar8diu9_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__student,89,-2.91104276622745
human__k1-3ar8diu9_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__normal,89,-3.1767719576074565
